Unnamed: 0_level_0,Unnamed: 1_level_0,Projections & Ratings,Projections & Ratings,Projections & Ratings,Projections & Ratings,Unnamed: 6_level_0,Over Hit Rates,Over Hit Rates,Over Hit Rates,Over Hit Rates,Unnamed: 11_level_0,Unnamed: 12_level_0
Russell Westbrook IIIG- OKC @ DEN,14Pts + Ast,15.5Over,1.5,,,3rd,40%,,,,O 14.0(-137),Click to view the prop analyzer for this player and market
Luguentz DortG- OKC @ DEN,9.5Pts + Ast,11.0Over,1.5,,,24th,60%,,,,O 9.5(-124),Click to view the prop analyzer for this player and market
Luguentz DortG- OKC @ DEN,13Pts + Ast + Reb,14.5Over,1.5,,,20th,40%,,,,O 13.0(-137),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,16.5Pts,17.9Over,1.4,,,3rd,40%,,,,O 16.5(-121),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,23.5Pts + Reb,24.9Over,1.4,,,6th,60%,,,,O 23.5(-110),Click to view the prop analyzer for this player and market
Luguentz DortG- OKC @ DEN,11.5Pts + Reb,12.9Over,1.4,,,17th,60%,,,,O 11.5(-122),Click to view the prop analyzer for this player and market
Russell Westbrook IIIG- OKC @ DEN,3.5Ast,4.8Over,1.3,,,4th,40%,,,,O 3.5(-115),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,5Ast,6.2Over,1.2,,,4th,40%,,,,O 5.0(-137),Click to view the prop analyzer for this player and market
Chet HolmgrenF- OKC @ DEN,1.5Ast,2.7Over,1.2,,,27th,40%,,,,O 1.5(-137),Click to view the prop analyzer for this player and market
Jalen WilliamsG- OKC @ DEN,4.5Reb,5.7Over,1.2,,,8th,40%,,,,O 4.5(-137),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,9.5Reb + Ast,10.7Over,1.2,,,10th,40%,,,,O 9.5(-137),Click to view the prop analyzer for this player and market
Nikola JokicC- OKC @ DEN,14Reb,15.0Over,1.0,,,23rd,60%,,,,O 14.0(-137),Click to view the prop analyzer for this player and market
Luguentz DortG- OKC @ DEN,8.5Pts,9.4Over,0.9,,,22nd,60%,,,,O 8.5(-121),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,10Reb + Ast,10.8Over,0.8,,,10th,60%,,,,O 10.0(-137),Click to view the prop analyzer for this player and market
Shai Gilgeous-AlexanderG- OKC @ DEN,6Reb,5.3Under,-0.7,,,8th,80%,,,,U 6.0(-137),Click to view the prop analyzer for this player and market
Shai Gilgeous-AlexanderG- OKC @ DEN,7Ast,7.6Over,0.6,,,27th,40%,,,,O 7.0(-137),Click to view the prop analyzer for this player and market
Peyton WatsonF- OKC @ DEN,4.5Pts,5.1Over,0.6,,,3rd,40%,,,,O 4.5(-137),Click to view the prop analyzer for this player and market
Jamal MurrayG- OKC @ DEN,4Reb,4.6Over,0.6,,,23rd,20%,,,,O 4.0(-137),Click to view the prop analyzer for this player and market
Peyton WatsonF- OKC @ DEN,7Pts + Reb,7.6Over,0.6,,,6th,60%,,,,O 7.0(-137),Click to view the prop analyzer for this player and market
Alex CarusoG- OKC @ DEN,5.5Reb + Ast,6.1Over,0.6,,,19th,60%,,,,O 5.5(-137),Click to view the prop analyzer for this player and market
Chet HolmgrenF- OKC @ DEN,11Reb + Ast,11.6Over,0.6,,,19th,60%,,,,O 11.0(-137),Click to view the prop analyzer for this player and market
Aaron WigginsG- OKC @ DEN,9.5Pts + Ast + Reb,10.1Over,0.6,,,20th,60%,,,,O 9.5(-137),Click to view the prop analyzer for this player and market
Aaron WigginsG- OKC @ DEN,7.5Pts + Ast,8.0Over,0.5,,,24th,60%,,,,O 7.5(-112),Click to view the prop analyzer for this player and market
Russell Westbrook IIIG- OKC @ DEN,14.5Pts + Reb,15.0Over,0.5,,,6th,40%,,,,O 14.5(-137),Click to view the prop analyzer for this player and market
Alex CarusoG- OKC @ DEN,11.5Pts + Reb,11.0Under,-0.5,,,17th,60%,,,,U 11.5(-127),Click to view the prop analyzer for this player and market
Aaron WigginsG- OKC @ DEN,8.5Pts + Reb,9.0Over,0.5,,,17th,80%,,,,O 8.5(-137),Click to view the prop analyzer for this player and market
Alex CarusoG- OKC @ DEN,13.5Pts + Ast + Reb,14.0Over,0.5,,,20th,60%,,,,O 13.5(-137),Click to view the prop analyzer for this player and market
Alex CarusoG- OKC @ DEN,10.5Pts + Ast,10.9Over,0.4,,,24th,60%,,,,O 10.5(-107),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,8.5Reb + Ast,8.9Over,0.4,,,10th,40%,,,,O 8.5(-110),Click to view the prop analyzer for this player and market
Russell Westbrook IIIG- OKC @ DEN,10.5Pts,10.7Over,0.2,,,3rd,40%,,,,O 10.5(-121),Click to view the prop analyzer for this player and market
Shai Gilgeous-AlexanderG- OKC @ DEN,13Reb + Ast,12.8Over,-0.2,,,19th,60%,,,,O 13.0(-137),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,0.5Blk,0.6Over,0.1,,,14th,80%,,,,O 0.5(-137),Click to view the prop analyzer for this player and market
Alex CarusoG- OKC @ DEN,8Pts,7.9Under,-0.1,,,22nd,60%,,,,U 8.0(-137),Click to view the prop analyzer for this player and market
Chet HolmgrenF- OKC @ DEN,9Reb,8.9Under,-0.1,,,8th,60%,,,,U 9.0(-137),Click to view the prop analyzer for this player and market
Christian BraunG- OKC @ DEN,6Reb,6.1Over,0.1,,,23rd,60%,,,,O 6.0(-137),Click to view the prop analyzer for this player and market
Peyton WatsonF- OKC @ DEN,2.5Reb,2.4Under,-0.1,,,23rd,40%,,,,U 2.5(-115),Click to view the prop analyzer for this player and market
Aaron GordonF- OKC @ DEN,7Reb,7.0Over,0.0,,,23rd,60%,,,,O 7.0(-137),Click to view the prop analyzer for this player and market
