Player name,Position,Game,Prop_line,Prop_type,Projection_BP,Projection_UO_BP,Proj_BP_Diff,EV,OPP vs Prop,L-5,L-15,season,H2H,Odds
Peyton Watson,F,OKC @ DEN,7.0,Pts + Reb,7.6,Over,0.6,,6th,,,,nan,-137
Alex Caruso,G,OKC @ DEN,5.5,Reb + Ast,6.1,Over,0.6,,19th,,,,nan,-137
Chet Holmgren,F,OKC @ DEN,11.0,Reb + Ast,11.6,Over,0.6,,19th,,,,nan,-137
Aaron Wiggins,G,OKC @ DEN,9.5,Pts + Ast + Reb,10.1,Over,0.6,,20th,,,,nan,-137
Aaron Wiggins,G,OKC @ DEN,7.5,Pts + Ast,8.0,Over,0.5,,24th,,,,nan,-112
Russell Westbrook III,G,OKC @ DEN,14.5,Pts + Reb,15.0,Over,0.5,,6th,,,,nan,-137
Alex Caruso,G,OKC @ DEN,11.5,Pts + Reb,11.0,Under,-0.5,,17th,,,,nan,-127
Aaron Wiggins,G,OKC @ DEN,8.5,Pts + Reb,9.0,Over,0.5,,17th,,,,nan,-137
Alex Caruso,G,OKC @ DEN,13.5,Pts + Ast + Reb,14.0,Over,0.5,,20th,,,,nan,-137
Alex Caruso,G,OKC @ DEN,10.5,Pts + Ast,10.9,Over,0.4,,24th,,,,nan,-107
Christian Braun,G,OKC @ DEN,8.5,Reb + Ast,8.9,Over,0.4,,10th,,,,nan,-110
Russell Westbrook III,G,OKC @ DEN,10.5,Pts,10.7,Over,0.2,,3rd,,,,nan,-121
Shai Gilgeous-Alexander,G,OKC @ DEN,13.0,Reb + Ast,12.8,Over,-0.2,,19th,,,,nan,-137
Christian Braun,G,OKC @ DEN,0.5,Blk,0.6,Over,0.1,,14th,,,,nan,-137
Alex Caruso,G,OKC @ DEN,8.0,Pts,7.9,Under,-0.1,,22nd,,,,nan,-137
Chet Holmgren,F,OKC @ DEN,9.0,Reb,8.9,Under,-0.1,,8th,,,,nan,-137
Christian Braun,G,OKC @ DEN,6.0,Reb,6.1,Over,0.1,,23rd,,,,nan,-137
Peyton Watson,F,OKC @ DEN,2.5,Reb,2.4,Under,-0.1,,23rd,,,,nan,-115
Aaron Gordon,F,OKC @ DEN,7.0,Reb,7.0,Over,0.0,,23rd,,,,nan,-137
